Datum;Buchungstext;Betrag;Saldo;Valuta
10.10.22;Addebito TWINT Ogg The Farmer 0400000945768989;-8.50;69169.87;08.10.22
10.10.22;Storno Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 03.10.2022 12:38 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;9.50;69178.37;03.10.22
10.10.22;Storno Eft-Pos - Selecta AG / PuV, Kirchberg BE - 02.10.2022 16:08 - N. di carta xxxxxxxxxxxx4476 - 3.80 CHF;3.80;69168.87;02.10.22
10.10.22;Storno Eft-Pos - Musee H.-R. Giger, Gruyeres - 02.10.2022 12:08 - N. di carta xxxxxxxxxxxx4476 - 29.00 CHF;29.00;69165.07;02.10.22
10.10.22;Storno Eft-Pos - Burger King Rothrist, Rothrist - 02.10.2022 19:34 - N. di carta xxxxxxxxxxxx4476 - 55.20 CHF;55.20;69136.07;02.10.22
10.10.22;Storno Eft-Pos - Bahnhofkiosk, Fribourg - 02.10.2022 15:57 - N. di carta xxxxxxxxxxxx4476 - 8.25 CHF;8.25;69080.87;02.10.22
10.10.22;Storno Eft-Pos - Lidl Regensdorf, Regensdorf - 01.10.2022 12:17 - N. di carta xxxxxxxxxxxx4476 - 48.25 CHF;48.25;69072.62;01.10.22
07.10.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 03.10.2022 12:38 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;69024.37;03.10.22
07.10.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 03.10.2022 12:38 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;69033.87;03.10.22
07.10.22;Eft-Pos - Selecta AG / PuV, Kirchberg BE - 02.10.2022 16:08 - N. di carta xxxxxxxxxxxx4476 - 3.80 CHF;-3.80;69043.37;02.10.22
07.10.22;Eft-Pos - Musee H.-R. Giger, Gruyeres - 02.10.2022 12:08 - N. di carta xxxxxxxxxxxx4476 - 29.00 CHF;-29.00;69047.17;02.10.22
07.10.22;Eft-Pos - Burger King Rothrist, Rothrist - 02.10.2022 19:34 - N. di carta xxxxxxxxxxxx4476 - 55.20 CHF;-55.20;69076.17;02.10.22
07.10.22;Eft-Pos - Bahnhofkiosk, Fribourg - 02.10.2022 15:57 - N. di carta xxxxxxxxxxxx4476 - 8.25 CHF;-8.25;69131.37;02.10.22
07.10.22;Eft-Pos - Selecta AG / PuV, Kirchberg BE - 02.10.2022 16:08 - N. di carta xxxxxxxxxxxx4476 - 3.80 CHF;-3.80;69139.62;02.10.22
07.10.22;Eft-Pos - Musee H.-R. Giger, Gruyeres - 02.10.2022 12:08 - N. di carta xxxxxxxxxxxx4476 - 29.00 CHF;-29.00;69143.42;02.10.22
07.10.22;Eft-Pos - Burger King Rothrist, Rothrist - 02.10.2022 19:34 - N. di carta xxxxxxxxxxxx4476 - 55.20 CHF;-55.20;69172.42;02.10.22
07.10.22;Eft-Pos - Bahnhofkiosk, Fribourg - 02.10.2022 15:57 - N. di carta xxxxxxxxxxxx4476 - 8.25 CHF;-8.25;69227.62;02.10.22
07.10.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 01.10.2022 12:17 - N. di carta xxxxxxxxxxxx4476 - 48.25 CHF;-48.25;69235.87;01.10.22
07.10.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 01.10.2022 12:17 - N. di carta xxxxxxxxxxxx4476 - 48.25 CHF;-48.25;69284.12;01.10.22
06.10.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 04.10.2022 13:07 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;69332.37;04.10.22
03.10.22;Belastung LSV;-7.00;69340.87;03.10.22
30.09.22;Belastung LSV;-313.90;69347.87;30.09.22
30.09.22;Verg�tung;-65.35;69661.77;30.09.22
29.09.22;Verg�tung;-1000.00;69727.12;29.09.22
29.09.22;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 27.09.2022 08:08 - N. di carta xxxxxxxxxxxx4476 - 2.95 CHF;-2.95;70727.12;27.09.22
29.09.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 27.09.2022 11:48 - N. di carta xxxxxxxxxxxx4476 - 6.00 CHF;-6.00;70730.07;27.09.22
28.09.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 26.09.2022 12:25 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;70736.07;26.09.22
23.09.22;Pagamento stipendio Cembra Money Bank AG;6428.70;70744.57;23.09.22
22.09.22;Verg�tung;-5000.00;64315.87;22.09.22
22.09.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 20.09.2022 12:39 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;69315.87;20.09.22
21.09.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 19.09.2022 13:00 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;69324.37;19.09.22
20.09.22;Eft-Pos - DELLEA DIEGO, DUMENZA - 16.09.2022 22:36 - N. di carta xxxxxxxxxxxx4476 - 35.50 EUR al tasso di cambio 0.971831 = CHF 34.50 Piu commisioni CHF 1.50;-36.00;69333.87;16.09.22
15.09.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 13.09.2022 11:44 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;69369.87;13.09.22
14.09.22;Belastung LSV;-264.95;69379.37;14.09.22
12.09.22;Verg�tung;-1000.00;69644.32;12.09.22
12.09.22;Addebito TWINT Coop-1506 Regensdorf 0400000900273288;-141.30;70644.32;11.09.22
12.09.22;Addebito TWINT Regensdorf , Porchetta, +41763261562 0400000900225537;-22.00;70785.62;10.09.22
09.09.22;Addebito TWINT Sivantham, Giritharan, +41789443126 0400000897368315;-15.00;70807.62;09.09.22
08.09.22;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 06.09.2022 12:28 - N. di carta xxxxxxxxxxxx4476 - 8.35 CHF;-8.35;70822.62;06.09.22
07.09.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 05.09.2022 13:13 - N. di carta xxxxxxxxxxxx4476 - 6.00 CHF;-6.00;70830.97;05.09.22
06.09.22;Eft-Pos - SUMUP  KIOSK KATZENSEE, ZURICH - 04.09.2022 14:25 - N. di carta xxxxxxxxxxxx4476 - 11.00 CHF;-11.00;70836.97;04.09.22
05.09.22;Addebito TWINT Seeholz Beizli 0400000888010271;-8.00;70847.97;04.09.22
05.09.22;Addebito TWINT Ogg The Farmer 0400000887700313;-3.00;70855.97;04.09.22
01.09.22;Belastung LSV;-7.00;70858.97;01.09.22
01.09.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 30.08.2022 13:01 - N. di carta xxxxxxxxxxxx4476 - 6.00 CHF;-6.00;70865.97;30.08.22
01.09.22;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 30.08.2022 12:48 - N. di carta xxxxxxxxxxxx4476 - 1.40 CHF;-1.40;70871.97;30.08.22
31.08.22;Dauerauftrag;-1090.00;70873.37;31.08.22
31.08.22;Belastung LSV;-313.90;71963.37;31.08.22
31.08.22;Verg�tung;-64.25;72277.27;31.08.22
31.08.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 29.08.2022 13:26 - N. di carta xxxxxxxxxxxx4476 - 6.00 CHF;-6.00;72341.52;29.08.22
30.08.22;Verg�tung;-1090.00;72347.52;30.08.22
25.08.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 23.08.2022 13:11 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;73437.52;23.08.22
25.08.22;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 23.08.2022 13:24 - N. di carta xxxxxxxxxxxx4476 - 1.40 CHF;-1.40;73447.02;23.08.22
24.08.22;Pagamento stipendio Cembra Money Bank AG;6593.05;73448.42;24.08.22
24.08.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 22.08.2022 13:28 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;66855.37;22.08.22
23.08.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 20.08.2022 15:40 - N. di carta xxxxxxxxxxxx4476 - 64.15 CHF;-64.15;66863.87;20.08.22
23.08.22;Eft-Pos - Coop-2572 Regensdorf/Rag, Regensdorf - 19.08.2022 18:44 - N. di carta xxxxxxxxxxxx4476 - 87.85 CHF;-87.85;66928.02;19.08.22
23.08.22;Eft-Pos - LA TAPENADE A PHL, PHILADELPHIA - 19.08.2022 00:28 - N. di carta xxxxxxxxxxxx4476 - 4.19 USD al tasso di cambio 0.966587 = CHF 4.05 Piu commisioni CHF 1.50;-5.55;67015.87;19.08.22
23.08.22;Eft-Pos - EMC SEAFOOD & RAW BAR, 213-3519988 - 15.08.2022 07:21 - N. di carta xxxxxxxxxxxx4476 - 114.00 USD al tasso di cambio 0.969737 = CHF 110.55 Piu commisioni CHF 1.50;-112.05;67021.42;15.08.22
22.08.22;Eft-Pos - IN N OUT BURGER 102, HOLLYWOOD - 17.08.2022 22:22 - N. di carta xxxxxxxxxxxx4476 - 18.01 USD al tasso di cambio 0.96613 = CHF 17.40 Piu commisioni CHF 1.50;-18.90;67133.47;17.08.22
19.08.22;Eft-Pos - SINACO OIL CORP, LOS ANGELES - 18.08.2022 02:41 - N. di carta xxxxxxxxxxxx4476 - 2.99 USD al tasso di cambio 0.9699 = CHF 2.90 Piu commisioni CHF 1.50;-4.40;67152.37;18.08.22
19.08.22;Eft-Pos - LA CITY METERED PARKING, LOS ANGELES - 17.08.2022 02:01 - N. di carta xxxxxxxxxxxx4476 - 2.00 USD al tasso di cambio 0.975 = CHF 1.95 Piu commisioni CHF 1.50;-3.45;67156.77;17.08.22
19.08.22;Eft-Pos - CHRIS N EDDYS, LOS ANGELES - 17.08.2022 07:41 - N. di carta xxxxxxxxxxxx4476 - 9.86 USD al tasso di cambio 0.963489 = CHF 9.50 Piu commisioni CHF 1.50;-11.00;67160.22;17.08.22
19.08.22;Eft-Pos - HOLLYWOOD AND HIGHLAND, LOS ANGELES - 16.08.2022 09:39 - N. di carta xxxxxxxxxxxx4476 - 3.00 USD al tasso di cambio 0.966667 = CHF 2.90 Piu commisioni CHF 1.50;-4.40;67171.22;16.08.22
19.08.22;Eft-Pos - CINNABON 904, UNIVERSAL CIT - 16.08.2022 18:14 - N. di carta xxxxxxxxxxxx4476 - 10.38 USD al tasso di cambio 0.963391 = CHF 10.00 Piu commisioni CHF 1.50;-11.50;67175.62;16.08.22
18.08.22;Eft-Pos - HOGSMEAD STATION, UNIVERSAL CIT - 17.08.2022 00:20 - N. di carta xxxxxxxxxxxx4476 - 10.95 USD al tasso di cambio 0.958904 = CHF 10.50 Piu commisioni CHF 1.50;-12.00;67187.12;17.08.22
18.08.22;Eft-Pos - POPEYES 2157, HOLLYWOOD - 17.08.2022 03:30 - N. di carta xxxxxxxxxxxx4476 - 13.34 USD al tasso di cambio 0.95952 = CHF 12.80 Piu commisioni CHF 1.50;-14.30;67199.12;17.08.22
18.08.22;Eft-Pos - KRUSTY BURGER, UNIVERSAL CIT - 16.08.2022 20:59 - N. di carta xxxxxxxxxxxx4476 - 35.84 USD al tasso di cambio 0.961217 = CHF 34.45 Piu commisioni CHF 1.50;-35.95;67213.42;16.08.22
18.08.22;Eft-Pos - USH PARKING RC, UNIVERSAL CIT - 16.08.2022 18:03 - N. di carta xxxxxxxxxxxx4476 - 30.00 USD al tasso di cambio 0.961667 = CHF 28.85 Piu commisioni CHF 1.50;-30.35;67249.37;16.08.22
18.08.22;Eft-Pos - WACKO, LOS ANGELES - 16.08.2022 01:14 - N. di carta xxxxxxxxxxxx4476 - 29.55 USD al tasso di cambio 0.961083 = CHF 28.40 Piu commisioni CHF 1.50;-29.90;67279.72;16.08.22
18.08.22;Eft-Pos - CHINESE THEATRES BAR AND, LOS ANGELES - 16.08.2022 06:55 - N. di carta xxxxxxxxxxxx4476 - 13.00 USD al tasso di cambio 0.961538 = CHF 12.50 Piu commisioni CHF 1.50;-14.00;67309.62;16.08.22
18.08.22;Eft-Pos - JACK IN THE BOX 5455, LOS ANGELES - 16.08.2022 09:54 - N. di carta xxxxxxxxxxxx4476 - 2.95 USD al tasso di cambio 0.966102 = CHF 2.85 Piu commisioni CHF 1.50;-4.35;67323.62;16.08.22
18.08.22;Eft-Pos - SLAB, LOS ANGELES - 16.08.2022 04:35 - N. di carta xxxxxxxxxxxx4476 - 77.78 USD al tasso di cambio 0.961044 = CHF 74.75 Piu commisioni CHF 1.50;-76.25;67327.97;16.08.22
18.08.22;Eft-Pos - TOMMYS 1, LOS ANGELES - 15.08.2022 20:31 - N. di carta xxxxxxxxxxxx4476 - 12.15 USD al tasso di cambio 0.962963 = CHF 11.70 Piu commisioni CHF 1.50;-13.20;67404.22;15.08.22
18.08.22;Eft-Pos - FOOT LOCKER - 08059, LOS ANGELES - 15.08.2022 23:08 - N. di carta xxxxxxxxxxxx4476 - 60.23 USD al tasso di cambio 0.961315 = CHF 57.90 Piu commisioni CHF 1.50;-59.40;67417.42;15.08.22
17.08.22;Eft-Pos - HOLLYSHORTS, WWW.HOLLYWOOD - 16.08.2022 06:52 - N. di carta xxxxxxxxxxxx4476 - 44.00 USD al tasso di cambio 0.956818 = CHF 42.10 Piu commisioni CHF 1.50;-43.60;67476.82;16.08.22
17.08.22;Eft-Pos - IN N OUT BURGER 292, CABAZON - 14.08.2022 21:13 - N. di carta xxxxxxxxxxxx4476 - 20.10 USD al tasso di cambio 0.955224 = CHF 19.20 Piu commisioni CHF 1.50;-20.70;67520.42;14.08.22
17.08.22;Eft-Pos - TST Roadrunner Grab & G, JOSHUA TREE - 14.08.2022 19:55 - N. di carta xxxxxxxxxxxx4476 - 11.98 USD al tasso di cambio 0.95576 = CHF 11.45 Piu commisioni CHF 1.50;-12.95;67541.12;14.08.22
16.08.22;Eft-Pos - PEGGY SUES 50S DINER, YERMO - 14.08.2022 01:12 - N. di carta xxxxxxxxxxxx4476 - 45.02 USD al tasso di cambio 0.955131 = CHF 43.00 Piu commisioni CHF 1.50;-44.50;67554.07;14.08.22
16.08.22;Eft-Pos - CIRCLE K 00770, MORONGO VALLE - 14.08.2022 20:39 - N. di carta xxxxxxxxxxxx4476 - 33.67 USD al tasso di cambio 0.954856 = CHF 32.15 Piu commisioni CHF 1.50;-33.65;67598.57;14.08.22
16.08.22;Eft-Pos - JAKES SALOON, LONE PINE - 13.08.2022 05:54 - N. di carta xxxxxxxxxxxx4476 - 16.00 USD al tasso di cambio 0.953125 = CHF 15.25 Piu commisioni CHF 1.50;-16.75;67632.22;13.08.22
16.08.22;Eft-Pos - TEXACO 0306011, JOHANNESBURG - 13.08.2022 22:36 - N. di carta xxxxxxxxxxxx4476 - 3.90 USD al tasso di cambio 0.948718 = CHF 3.70 Piu commisioni CHF 1.50;-5.20;67648.97;13.08.22
16.08.22;Eft-Pos - EXXONMOBIL    96517040, OLANCHA - 13.08.2022 21:11 - N. di carta xxxxxxxxxxxx4476 - 6.49 USD al tasso di cambio 0.955316 = CHF 6.20 Piu commisioni CHF 1.50;-7.70;67654.17;13.08.22
15.08.22;Belastung LSV;-544.45;67661.87;15.08.22
09.08.22;Eft-Pos - IN N OUT BURGER 222, SAN LEANDRO - 06.08.2022 00:45 - N. di carta xxxxxxxxxxxx4476 - 15.78 USD al tasso di cambio 0.97275 = CHF 15.35 Piu commisioni CHF 1.50;-16.85;68206.32;06.08.22
09.08.22;Eft-Pos - GUYS CORNER, MADISON - 06.08.2022 03:14 - N. di carta xxxxxxxxxxxx4476 - 26.53 USD al tasso di cambio 0.974369 = CHF 25.85 Piu commisioni CHF 1.50;-27.35;68223.17;06.08.22
09.08.22;Eft-Pos - IN N OUT BURGER 137, REDDING - 06.08.2022 20:25 - N. di carta xxxxxxxxxxxx4476 - 10.40 USD al tasso di cambio 0.975962 = CHF 10.15 Piu commisioni CHF 1.50;-11.65;68250.52;06.08.22
09.08.22;Eft-Pos - TARGET        00006155, REDDING - 06.08.2022 20:14 - N. di carta xxxxxxxxxxxx4476 - 24.56 USD al tasso di cambio 0.973127 = CHF 23.90 Piu commisioni CHF 1.50;-25.40;68262.17;06.08.22
09.08.22;Eft-Pos - FOODMAXX 476 RED B, RED BLUFF - 06.08.2022 06:19 - N. di carta xxxxxxxxxxxx4476 - 36.85 USD al tasso di cambio 0.972863 = CHF 35.85 Piu commisioni CHF 1.50;-37.35;68287.57;06.08.22
09.08.22;Eft-Pos - TST Woodhouse Fish Co -, San Francisco - 05.08.2022 02:07 - N. di carta xxxxxxxxxxxx4476 - 99.60 USD al tasso di cambio 0.973394 = CHF 96.95 Piu commisioni CHF 1.50;-98.45;68324.92;05.08.22
09.08.22;Eft-Pos - PORK STORE., SAN FRANCISCO - 05.08.2022 18:46 - N. di carta xxxxxxxxxxxx4476 - 43.31 USD al tasso di cambio 0.973216 = CHF 42.15 Piu commisioni CHF 1.50;-43.65;68423.37;05.08.22
09.08.22;Eft-Pos - CHESTNUT DINER, SAN FRANCISCO - 04.08.2022 19:33 - N. di carta xxxxxxxxxxxx4476 - 16.78 USD al tasso di cambio 0.974374 = CHF 16.35 Piu commisioni CHF 1.50;-17.85;68467.02;04.08.22
08.08.22;Verg�tung;-5000.00;68484.87;08.08.22
08.08.22;Eft-Pos - SQ HINODEYA RAMEN DOWNT, San Francisco - 05.08.2022 05:01 - N. di carta xxxxxxxxxxxx4476 - 33.37 USD al tasso di cambio 0.973929 = CHF 32.50 Piu commisioni CHF 1.50;-34.00;73484.87;05.08.22
08.08.22;Eft-Pos - SQ HING LUNG COMPA, SAN FRANCISCO - 04.08.2022 21:21 - N. di carta xxxxxxxxxxxx4476 - 13.30 USD al tasso di cambio 0.973684 = CHF 12.95 Piu commisioni CHF 1.50;-14.45;73518.87;04.08.22
08.08.22;Eft-Pos - SANTA CRUZ COFFEE ROASTI, WATSONVILLE - 03.08.2022 21:15 - N. di carta xxxxxxxxxxxx4476 - 5.35 USD al tasso di cambio 0.971963 = CHF 5.20 Piu commisioni CHF 1.50;-6.70;73533.32;03.08.22
05.08.22;Eft-Pos - JACKS HAMBURGERS, SANTA CRUZ - 03.08.2022 22:23 - N. di carta xxxxxxxxxxxx4476 - 24.36 USD al tasso di cambio 0.974959 = CHF 23.75 Piu commisioni CHF 1.50;-25.25;73540.02;03.08.22
05.08.22;Eft-Pos - BOOKSHOP SANTA CRUZ, SANTA CRUZ - 03.08.2022 21:47 - N. di carta xxxxxxxxxxxx4476 - 63.15 USD al tasso di cambio 0.975455 = CHF 61.60 Piu commisioni CHF 1.50;-63.10;73565.27;03.08.22
05.08.22;Prelievo Bancomat - 106 CHURCH ST, SANTA CRUZ - 03.08.2022 21:52 - N. di carta xxxxxxxxxxxx4476 - 103.00 USD al tasso di cambio 0.975243 = CHF 100.45 Piu commisioni CHF 5.00;-105.45;73628.37;03.08.22
05.08.22;Eft-Pos - FRANKIE & LOLAS FRONT ST, MORRO BAY - 02.08.2022 19:29 - N. di carta xxxxxxxxxxxx4476 - 36.18 USD al tasso di cambio 0.975677 = CHF 35.30 Piu commisioni CHF 1.50;-36.80;73733.82;02.08.22
04.08.22;Eft-Pos - CAMP ONE - MORRO, MORRO BAY - 02.08.2022 19:57 - N. di carta xxxxxxxxxxxx4476 - 69.58 USD al tasso di cambio 0.965795 = CHF 67.20 Piu commisioni CHF 1.50;-68.70;73770.62;02.08.22
04.08.22;Eft-Pos - HARBOR HUT, MORRO BAY - 02.08.2022 06:33 - N. di carta xxxxxxxxxxxx4476 - 137.60 USD al tasso di cambio 0.965843 = CHF 132.90 Piu commisioni CHF 1.50;-134.40;73839.32;02.08.22
04.08.22;Eft-Pos - REI 134 SANTA BARBARA, SANTA BARBARA - 01.08.2022 20:20 - N. di carta xxxxxxxxxxxx4476 - 108.63 USD al tasso di cambio 0.965663 = CHF 104.90 Piu commisioni CHF 1.50;-106.40;73973.72;01.08.22
04.08.22;Eft-Pos - IN N OUT BURGER 108, GOLETA - 01.08.2022 21:46 - N. di carta xxxxxxxxxxxx4476 - 20.10 USD al tasso di cambio 0.965174 = CHF 19.40 Piu commisioni CHF 1.50;-20.90;74080.12;01.08.22
03.08.22;Eft-Pos - IN N OUT BURGER 076, VENTURA - 01.08.2022 06:03 - N. di carta xxxxxxxxxxxx4476 - 12.61 USD al tasso di cambio 0.963521 = CHF 12.15 Piu commisioni CHF 1.50;-13.65;74101.02;01.08.22
03.08.22;Eft-Pos - SANTA BARBARA GAS, SANTA BARBARA - 01.08.2022 21:20 - N. di carta xxxxxxxxxxxx4476 - 151.03 USD al tasso di cambio 0.963716 = CHF 145.55 Piu commisioni CHF 1.50;-147.05;74114.67;01.08.22
03.08.22;Eft-Pos - TST The Apple Pan, Los Angeles - 31.07.2022 20:53 - N. di carta xxxxxxxxxxxx4476 - 3.29 USD al tasso di cambio 0.957447 = CHF 3.15 Piu commisioni CHF 1.50;-4.65;74261.72;31.07.22
03.08.22;Eft-Pos - TST The Apple Pan, Los Angeles - 31.07.2022 20:47 - N. di carta xxxxxxxxxxxx4476 - 43.88 USD al tasso di cambio 0.963993 = CHF 42.30 Piu commisioni CHF 1.50;-43.80;74266.37;31.07.22
03.08.22;Eft-Pos - ROBERT H MEYER MEMORIAL, MALIBU - 31.07.2022 00:00 - N. di carta xxxxxxxxxxxx4476 - 3.00 USD al tasso di cambio 0.966667 = CHF 2.90 Piu commisioni CHF 1.50;-4.40;74310.17;31.07.22
03.08.22;Eft-Pos - VONS 2096, VENTURA - 31.07.2022 00:00 - N. di carta xxxxxxxxxxxx4476 - 90.55 USD al tasso di cambio 0.963556 = CHF 87.25 Piu commisioni CHF 1.50;-88.75;74314.57;31.07.22
03.08.22;Eft-Pos - IN N OUT BURGER 119, LOS ANGELES - 31.07.2022 22:44 - N. di carta xxxxxxxxxxxx4476 - 12.65 USD al tasso di cambio 0.964427 = CHF 12.20 Piu commisioni CHF 1.50;-13.70;74403.32;31.07.22
03.08.22;Eft-Pos - STARBUCKS STORE 05494, LOS ANGELES - 31.07.2022 22:30 - N. di carta xxxxxxxxxxxx4476 - 5.75 USD al tasso di cambio 0.965217 = CHF 5.55 Piu commisioni CHF 1.50;-7.05;74417.02;31.07.22
02.08.22;Belastung LSV;-313.90;74424.07;02.08.22
02.08.22;Belastung LSV;-7.00;74737.97;02.08.22
02.08.22;Eft-Pos - SQ CINESPIA BARS, Hollywood - 31.07.2022 06:04 - N. di carta xxxxxxxxxxxx4476 - 22.00 USD al tasso di cambio 0.975 = CHF 21.45 Piu commisioni CHF 1.50;-22.95;74744.97;31.07.22
02.08.22;Eft-Pos - TST Bludsos Bar and Que, Los Angeles - 31.07.2022 05:42 - N. di carta xxxxxxxxxxxx4476 - 65.70 USD al tasso di cambio 0.975647 = CHF 64.10 Piu commisioni CHF 1.50;-65.60;74767.92;31.07.22
02.08.22;Eft-Pos - WHOLEFDS WWD 10176, LOS ANGELES - 31.07.2022 22:18 - N. di carta xxxxxxxxxxxx4476 - 25.64 USD al tasso di cambio 0.975039 = CHF 25.00 Piu commisioni CHF 1.50;-26.50;74833.52;31.07.22
02.08.22;Prelievo Bancomat - 603 N FAIRFAX AVE, LOS ANGELES - 31.07.2022 04:23 - N. di carta xxxxxxxxxxxx4476 - 45.77 CHF Piu commisioni CHF 5.00;-50.75;74860.02;31.07.22
02.08.22;Prelievo Bancomat - 603 N FAIRFAX AVE, LOS ANGELES - 31.07.2022 20:04 - N. di carta xxxxxxxxxxxx4476 - 102.99 USD al tasso di cambio 0.975823 = CHF 100.50 Piu commisioni CHF 5.00;-105.50;74910.77;31.07.22
02.08.22;Eft-Pos - HOLIDAY MOTEL, SANTA MONICA - 30.07.2022 18:52 - N. di carta xxxxxxxxxxxx4476 - 20.00 USD al tasso di cambio 0.975 = CHF 19.50 Piu commisioni CHF 1.50;-21.00;75016.27;30.07.22
02.08.22;Eft-Pos - TST MELS DRIVE IN - SA, SANTA MONICA - 30.07.2022 20:05 - N. di carta xxxxxxxxxxxx4476 - 45.61 USD al tasso di cambio 0.975663 = CHF 44.50 Piu commisioni CHF 1.50;-46.00;75037.27;30.07.22
02.08.22;Eft-Pos - BUBBA GUMP SANTA MONIC, SANTA MONICA - 30.07.2022 22:25 - N. di carta xxxxxxxxxxxx4476 - 28.93 USD al tasso di cambio 0.976495 = CHF 28.25 Piu commisioni CHF 1.50;-29.75;75083.27;30.07.22
02.08.22;Eft-Pos - TAXI SVC LOS ANGELES, LOS ANGELES - 30.07.2022 09:26 - N. di carta xxxxxxxxxxxx4476 - 25.00 USD al tasso di cambio 0.976 = CHF 24.40 Piu commisioni CHF 1.50;-25.90;75113.02;30.07.22
02.08.22;Eft-Pos - SQ THE MOSAIC TILE, VENICE - 30.07.2022 16:30 - N. di carta xxxxxxxxxxxx4476 - 41.28 USD al tasso di cambio 0.97626 = CHF 40.30 Piu commisioni CHF 1.50;-41.80;75138.92;30.07.22
02.08.22;Eft-Pos - A.I.R. Restaurant, Zurich - 29.07.2022 09:27 - N. di carta xxxxxxxxxxxx4476 - 17.80 CHF;-17.80;75180.72;29.07.22
02.08.22;Eft-Pos - GENOS STEAKS, PHILADELPHIA - 29.07.2022 22:09 - N. di carta xxxxxxxxxxxx4476 - 13.23 USD al tasso di cambio 0.975057 = CHF 12.90 Piu commisioni CHF 1.50;-14.40;75198.52;29.07.22
29.07.22;Dauerauftrag;-1090.00;75212.92;29.07.22
29.07.22;Verg�tung;-71.10;76302.92;29.07.22
29.07.22;Eft-Pos - Denner Regensdorf, Regensdorf - 27.07.2022 13:28 - N. di carta xxxxxxxxxxxx4476 - 17.00 CHF;-17.00;76374.02;27.07.22
29.07.22;Eft-Pos - Lidl Regensdorf, Regensdorf - 27.07.2022 13:23 - N. di carta xxxxxxxxxxxx4476 - 35.95 CHF;-35.95;76391.02;27.07.22
28.07.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 26.07.2022 12:07 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;76426.97;26.07.22
27.07.22;Verg�tung;-165.00;76436.47;27.07.22
27.07.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 25.07.2022 12:10 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;76601.47;25.07.22
27.07.22;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 25.07.2022 12:44 - N. di carta xxxxxxxxxxxx4476 - 2.95 CHF;-2.95;76609.97;25.07.22
22.07.22;Pagamento stipendio Cembra Money Bank AG;6593.05;76612.92;22.07.22
22.07.22;Eft-Pos - Migros M Hauptbahnhof Zu, Zurich - 20.07.2022 15:07 - N. di carta xxxxxxxxxxxx4476 - 5.55 CHF;-5.55;70019.87;20.07.22
15.07.22;Belastung LSV;-7.00;70025.42;15.07.22
14.07.22;Belastung LSV;-49.90;70032.42;14.07.22
14.07.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 12.07.2022 12:26 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;70082.32;12.07.22
13.07.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 11.07.2022 12:28 - N. di carta xxxxxxxxxxxx4476 - 6.00 CHF;-6.00;70090.82;11.07.22
07.07.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 05.07.2022 13:38 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;70096.82;05.07.22
06.07.22;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 04.07.2022 12:23 - N. di carta xxxxxxxxxxxx4476 - 6.00 CHF;-6.00;70106.32;04.07.22
