Datum;Buchungstext;Betrag;Saldo;Valuta
31.03.23;Belastung LSV;-350.20;90716.14;31.03.23
31.03.23;Verg�tung;-64.00;91066.34;31.03.23
30.03.23;Addebito TWINT Ogg The Farmer 0400001257019678;-6.00;91130.34;30.03.23
30.03.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 28.03.2023 12:33 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;91136.34;28.03.23
30.03.23;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 28.03.2023 12:37 - N. di carta xxxxxxxxxxxx4476 - 1.40 CHF;-1.40;91144.84;28.03.23
29.03.23;Addebito TWINT SBB EasyRide App 0400001253316630;-6.10;91146.24;29.03.23
28.03.23;Eft-Pos - Migros MMM Tivoli, Spreitenbach - 25.03.2023 18:59 - N. di carta xxxxxxxxxxxx4476 - 206.40 CHF;-206.40;91152.34;25.03.23
28.03.23;Eft-Pos - Ochsner Shoes / 606, Spreitenbach - 25.03.2023 17:43 - N. di carta xxxxxxxxxxxx4476 - 50.15 CHF;-50.15;91358.74;25.03.23
28.03.23;Eft-Pos - C & A Mode Spreitenbach, Spreitenbach - 25.03.2023 17:30 - N. di carta xxxxxxxxxxxx4476 - 30.25 CHF;-30.25;91408.89;25.03.23
27.03.23;Addebito TWINT , Maria, +41794363707 0400001250702464;-30.00;91439.14;27.03.23
27.03.23;Verg�tung;-5000.00;91469.14;27.03.23
24.03.23;Pagamento stipendio Cembra Money Bank AG;10024.75;96469.14;24.03.23
24.03.23;Eft-Pos - IKEA AG, Spreitenbach (A, Spreitenbach - 22.03.2023 19:39 - N. di carta xxxxxxxxxxxx4476 - 53.75 CHF;-53.75;86444.39;22.03.23
23.03.23;Eft-Pos - Coop-2572 Regensdorf/Rag, Regensdorf - 21.03.2023 18:37 - N. di carta xxxxxxxxxxxx4476 - 34.20 CHF;-34.20;86498.14;21.03.23
23.03.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 21.03.2023 12:12 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;86532.34;21.03.23
22.03.23;Addebito TWINT SBB EasyRide App 0400001239104875;-6.10;86540.84;22.03.23
21.03.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 18.03.2023 18:32 - N. di carta xxxxxxxxxxxx4476 - 37.90 CHF;-37.90;86546.94;18.03.23
21.03.23;Eft-Pos - Migros MM Regensdorf, Regensdorf - 18.03.2023 17:50 - N. di carta xxxxxxxxxxxx4476 - 2.25 CHF;-2.25;86584.84;18.03.23
20.03.23;Addebito TWINT SBB EasyRide App 0400001235442173;-6.10;86587.09;20.03.23
20.03.23;Dauerauftrag;-1090.00;86593.19;20.03.23
20.03.23;Addebito TWINT SBB EasyRide App 0400001234149423;-2.30;87683.19;19.03.23
16.03.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 14.03.2023 12:08 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;87685.49;14.03.23
16.03.23;Eft-Pos - LA NUOVA SFOGLIATELLA DI, MONTEVARCHI - 13.03.2023 09:27 - N. di carta xxxxxxxxxxxx4476 - 9.40 EUR al tasso di cambio 1.001064 = CHF 9.41 Piu commisioni CHF 1.50;-10.91;87693.99;13.03.23
15.03.23;Addebito TWINT Srebniak, Karolina, +41763218440 0400001226185212;-20.00;87704.90;15.03.23
15.03.23;Addebito TWINT SBB EasyRide App 0400001226008352;-3.40;87724.90;15.03.23
15.03.23;Eft-Pos - MISER DIREZ.ENTRATA  -, TERRAZZANO BA - 13.03.2023 15:27 - N. di carta xxxxxxxxxxxx4476 - 3.30 EUR al tasso di cambio 1 = CHF 3.30 Piu commisioni CHF 1.50;-4.80;87728.30;13.03.23
15.03.23;Eft-Pos - METANAUTO SRL, MONTEVARCHI - 13.03.2023 09:05 - N. di carta xxxxxxxxxxxx4476 - 45.01 EUR al tasso di cambio 1.001111 = CHF 45.06 Piu commisioni CHF 1.50;-46.56;87733.10;13.03.23
14.03.23;Addebito TWINT SBB Mobile 0400001224243126;-3.10;87779.66;14.03.23
14.03.23;Verg�tung;-550.00;87782.76;14.03.23
14.03.23;Eft-Pos - IPER MONTEVARCHI, MONTEVARCHI - 10.03.2023 14:12 - N. di carta xxxxxxxxxxxx4476 - 451.24 EUR al tasso di cambio 1.003524 = CHF 452.83 Piu commisioni CHF 1.50;-454.33;88332.76;10.03.23
09.03.23;Eft-Pos - LA NUOVA SFOGLIATELLA DI, MONTEVARCHI - 06.03.2023 16:24 - N. di carta xxxxxxxxxxxx4476 - 10.20 EUR al tasso di cambio 1.010784 = CHF 10.31 Piu commisioni CHF 1.50;-11.81;88787.09;06.03.23
07.03.23;Eft-Pos - Post CH AG (8364) Regens, Regensdorf - 03.03.2023 18:49 - N. di carta xxxxxxxxxxxx4476 - 50.00 CHF;-50.00;88798.90;03.03.23
06.03.23;Addebito TWINT SBB EasyRide App 0400001205354620;-6.10;88848.90;04.03.23
02.03.23;Eft-Pos - Koscher Bagel GmbH, Zurich - 28.02.2023 11:20 - N. di carta xxxxxxxxxxxx4476 - 26.00 CHF;-26.00;88855.00;28.02.23
01.03.23;Addebito TWINT SBB EasyRide App 0400001198961395;-6.10;88881.00;01.03.23
01.03.23;Belastung LSV;-7.00;88887.10;01.03.23
28.02.23;Belastung LSV;-328.30;88894.10;28.02.23
28.02.23;Verg�tung;-67.30;89222.40;28.02.23
28.02.23;Eft-Pos - Coop Pronto Davos, Davos Dorf - 26.02.2023 14:42 - N. di carta xxxxxxxxxxxx4476 - 7.10 CHF;-7.10;89289.70;26.02.23
24.02.23;Pagamento stipendio Cembra Money Bank AG;6939.00;89296.80;24.02.23
23.02.23;Addebito TWINT SBB EasyRide App 0400001187013633;-6.10;82357.80;23.02.23
23.02.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 21.02.2023 13:10 - N. di carta xxxxxxxxxxxx4476 - 9.50 CHF;-9.50;82363.90;21.02.23
23.02.23;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 21.02.2023 13:29 - N. di carta xxxxxxxxxxxx4476 - 1.40 CHF;-1.40;82373.40;21.02.23
22.02.23;Addebito TWINT SBB EasyRide App 0400001185267772;-6.10;82374.80;22.02.23
22.02.23;Eft-Pos - Restaurant A1 M.O.V.E., Zurich - 20.02.2023 12:29 - N. di carta xxxxxxxxxxxx4476 - 8.50 CHF;-8.50;82380.90;20.02.23
22.02.23;Eft-Pos - Coop-5629 ZH Vulkanstras, Zurich - 20.02.2023 12:46 - N. di carta xxxxxxxxxxxx4476 - 1.40 CHF;-1.40;82389.40;20.02.23
21.02.23;Addebito TWINT SBB EasyRide App 0400001183528115;-6.10;82390.80;21.02.23
21.02.23;Eft-Pos - Lidl Regensdorf, Regensdorf - 17.02.2023 18:51 - N. di carta xxxxxxxxxxxx4476 - 59.30 CHF;-59.30;82396.90;17.02.23
20.02.23;Dauerauftrag;-1090.00;82456.20;20.02.23
20.02.23;Addebito TWINT Ogg The Farmer 0400001179997776;-9.05;83546.20;18.02.23
